inputBeat,inputKey
9,left
10,right
11,left
12,right
13,left
14,right
15,left
15.5,right
16,left
17,right
18,left
19,right
20,left
21,right
22,left
23,right
23.5,left
24,right
25,left
26,right
27,left
28,right
29,left
30,right
31,left
32,right
33,left
33.5,right
34,left
35,right
36,left
37,right
37.5,left
38,right
39,left
40,right
41,left
42,right
43,left
44,right
45,left
46,right
47,left
47.5,right
48,left
48.5,right
49,left
50,right
51,left
52,right
53,left
54,right
55,left
55.5,right
56,left
57,right
58,left
59,right
60,left
61,right
62,left
63,right
63.5,left
64,right
64.5,left
65,right
66,left
67,right
67.5,left
68,right
68.5,left
69,right
70,left
71,right
71.5,left
72,right
73,left
74,right
75,left
76,right
77,left
78,right
79,left
80,right
81,left
81.5,right
82,left
83,right
84,left
85,right
86,left
87,right
87.5,left
88,right
88.5,left
89,right
90,left
91,right
92,left
93,right
94,left
95,right
95.5,left
96,right
96.5,left
97,right
98,left
99,right
100,left
101,right
101.5,left
102,right
103,left
104,right
105,left
106,right
107,left
107.5,right
108,left
109,right
109.5,left
110,right
110.5,left
111,right
112,left
113,right
113.5,left
114,right
114.5,left
115,right
115.5,left
116,right
117,left
