inputBeat,inputKey
9,left
10,right
11,left
12,right
13,left
14,right
15,left
15.5,right
16,left
17,right
18,left
19,right
20,left
21,right
22,left
23,right
23.5,left
24,right
25,left
26,right
27,left
28,right
29,left
30,right
31,left
32,right
33,left
33.5,right
34,left
35,right
36,left
37,right
37.5,left
38,right
39,left
40,right
41,left
42,right
43,left
44,right
45,left
46,right
47.5,left
48,right
48.5,left
49,right
50,left
51,right
52,left
53,right
54,left
55,right
55.5,left
56,right
57,left
58,right
59,left
60,right
61,left
62,right
63.5,left
64,right
64.5,left
65,right
66,left
67.5,right
68,left
68.5,right
69,left
70,right
71,left
71.5,right
72,left
73,right
74,left
75,right
76,left
77,right
78,left
79,right
80,left
81,right
81.5,left
82,right
83,left
84,right
85,left
86,right
87.5,left
88,right
88.5,left
89,right
90,left
91,right
92,left
93,right
94,left
95.5,right
96,left
96.5,right
97,left
98,right
99,left
100,right
101,left
101.5,right
102,left
103,right
104,left
105,right
106,left
107,right
107.5,left
108,right
109.5,left
110,right
110.5,left
111,right
112,left
113.5,right
114,left
114.5,right
115,left
115.5,right
116,left
117,right
